,Price,Address,Specifics,full_address
22,"$799,000",221 WILLIAMSON Drive,"4BD2BA2 Parking1,260 sqft","221, Williamson Drive, Caledonia, Haldimand County, Southwestern Ontario, Ontario, N3W 1A1, Canada"
23,"$2,999,900",9586 Twenty Road,"4BD4BA3 Parking2,658 sqft","9586, Twenty Road, West Lincoln Township, Niagara Region, Golden Horseshoe, Ontario, L0R 1E0, Canada"
24,"$699,000",396 CHARLTON Avenue W,"4BD3BA1 Parking1,496 sqft","396, Charlton Avenue West, Hamilton, Golden Horseshoe, Ontario, L8P 4B9, Canada"
25,"$549,900",101 Mitchell Street,"5BD2BA1 Parking1,600 sqft","101, Mitchell Street, Acacia Ridge, Brisbane City, Queensland, 4110, Australia"
26,"$849,000",70 Knoll Street,"5BD4BA1 Parking2,017 sqft","70, Knoll Street, Bristol, Hartford County, Connecticut, 06010, United States"
27,"$985,000",3123 Michael Crescent,"4BD2BA1 Parking1,256 sqft","3123, Michael Crescent, Palmer, Burlington, Halton Region, Golden Horseshoe, Ontario, L7M 1M2, Canada"
28,"$1,139,999",11 MAGNOLIA Drive,"5BD3BA2 Parking2,415 sqft","11, Magnolia Drive, Hamilton, Golden Horseshoe, Ontario, L9C 7B9, Canada"
29,"$674,000",21 Karsten Avenue,"6BD4BA1 Parking2,275 sqft","21, Karsten Avenue, Jarvis, Haldimand County, Southwestern Ontario, Ontario, N0A 1J0, Canada"
30,"$1,099,900",56 McAllistar Drive,"5BD4BA2 Parking2,585 sqft","McAllistar Drive, Hamilton, Golden Horseshoe, Ontario, L0R 1C0, Canada"
31,"$829,900",2126 SUNNYDALE Drive,"4BD2BA0 Parking1,040 sqft","2126, Sunnydale Drive, Clarksdale, Burlington, Halton Region, Golden Horseshoe, Ontario, L7P 1B6, Canada"
32,"$799,900",19 Orlanda Road,"3BD2BA1 Parking1,440 sqft","19, Orlanda Road, Stoney Creek, Hamilton, Golden Horseshoe, Ontario, L8G 1J5, Canada"
33,"$799,900",632 Ridge Road W,"4BD3BA2 Parking1,642 sqft","632, Ridge Road West, Oro-Medonte, Simcoe County, Central Ontario, Ontario, L0L 2E0, Canada"
34,"$449,900",264 TRAGINA Avenue N,2BD1BA0 Parking710 sqft,"264, Tragina Avenue North, Normanhurst, Hamilton, Golden Horseshoe, Ontario, L8H 2W6, Canada"
35,"$549,900",101 Mitchell Street,Detached,"101, Mitchell Street, Acacia Ridge, Brisbane City, Queensland, 4110, Australia"
36,"$699,900",493 CHARLTON Avenue E,3BD2BA0 Parking808 sqft,"493, Charlton Avenue East, Hamilton, Golden Horseshoe, Ontario, L9A 1A1, Canada"
37,"$780,000",5 - 257 Carla Avenue,"3BD3BA1 Parking1,492 sqft","Carla Avenue, Trussville, Jefferson County, Alabama, 35173, United States"
38,"$599,000",477 BRITANNIA Avenue,3BD2BA0 Parking820 sqft,"477, Britannia Avenue, Normanhurst, Hamilton, Golden Horseshoe, Ontario, L8H 1H9, Canada"
39,"$899,000",52 St.Paul St. West St,2+2BD3BA6 Parking,"52, St Paul Street West, St. Catharines, Niagara Region, Golden Horseshoe, Ontario, L2S 1L5, Canada"
40,"$999,000",54 Robert Parkinson Dr,"4BD4BA2 Parking2,000-2,500 sqft","54, Robert Parkinson Drive, Brampton, Peel Region, Golden Horseshoe, Ontario, L6P 1A1, Canada"
41,"$999,888",30 Belgravia Ave,3BD3BA2 Parking,"30, Belgravia Avenue, Eglinton—Lawrence, York, Toronto, Golden Horseshoe, Ontario, M6E 3B5, Canada"
42,"$2,349,000",2 Fanning Mills Circ,4BD5BA5 Parking,No Address Found
43,"$999,900",46 Drake Ave,"4BD4BA6 Parking2,500-3,000 sqft","46, Drake Avenue, Woodside, City of New Rochelle, Westchester County, New York, 10805, United States"
44,"$1,099,900",50 Linkdale Rd,3BD2BA6 Parking,"50, Linkdale Road, Brampton, Peel Region, Golden Horseshoe, Ontario, L6V 3B3, Canada"
45,"$2,400,000",748 W 59TH AVENUE,"3BD3BA2 Parking2,600 sqft","748, West 59th Avenue, Campbell, Anchorage, Alaska, 99518, United States"
46,"$599,900",4625 Sussex Dr,"3+1BD2BA2 Parking700-1,100 sqft","4625, Sussex Drive, Niagara Falls, Niagara Region, Golden Horseshoe, Ontario, L2E 7K5, Canada"
47,"$2,298,888",B - 3535 W 11TH AVENUE,"3BD4BA1 Parking1,571 sqft",No Address Found
48,"$2,258,000",A - 3535 W 11TH AVENUE,"3BD4BA1 Parking1,543 sqft",No Address Found
49,"$819,000",48 Santos Dr,"3BD3BA3 Parking1,500-2,000 sqft","48, Santos Drive, Kingsville, Essex County, Southwestern Ontario, Ontario, N9Y 1T8, Canada"
50,"$1,149,900",102 Tundra Rd,"4BD4BA3 Parking2,000-2,500 sqft","401539, 102, Tundra Road, SouthFields Village, Mayfield West, Caledon, Peel Region, Golden Horseshoe, Ontario, L7C 4C6, Canada"
51,"$1,359,900",10 Ben Sinclair Ave,"4+1BD4BA6 Parking3,000-3,500 sqft","Ben Sinclair Avenue, East Gwillimbury, York Region, Golden Horseshoe, Ontario, L9N 0E5, Canada"
52,"$1,188,888",21 Lundigan Dr,"4BD3BA4 Parking2,500-3,000 sqft","21, Lundigan Drive, Georgina, York Region, Golden Horseshoe, Ontario, L4P 0B5, Canada"
53,"$2,500,000",53 Laurentian Blvd,"3+1BD4BA9 Parking2,500-3,000 sqft","53, Laurentian Boulevard, Vaughan, York Region, Golden Horseshoe, Ontario, L4G 0M1, Canada"
54,"$1,150,000",468 Greig Circ,3+1BD4BA6 Parking,No Address Found
55,"$1,998,000",9046 162A STREET,"4BD3BA7 Parking3,861 sqft","9046, 162A Street, Fleetwood, Surrey, Metro Vancouver Regional District, British Columbia, V4N 3L6, Canada"
56,"$2,300,000",1512 BOND STREET,"1BD1BA0 Parking2,184 sqft","1512, Bond Street, Brambleton, Norfolk, Virginia, 23504, United States"
57,"$2,688,000",4792 NEVILLE STREET,"7BD4BA8 Parking4,438 sqft","4792, Neville Street, South Slope, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 4K0, Canada"
58,"$1,988,000",4870 MCKEE PLACE,"5BD3BA4 Parking2,622 sqft","4870, McKee Place, Fairways at Nelson, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 4K0, Canada"
59,"$1,788,000",46 Major Cres,4BD3BA4 Parking,"Major Crescent, The Heights, Burnside, Sunshine Coast Regional, Queensland, 4560, Australia"
60,"$1,999,900",918 GROVER AVENUE,"4BD2BA6 Parking2,230 sqft","918, Grover Avenue, Winter Park, Orange County, Florida, 32789, United States"
61,"$1,848,888",5530 CRIMSON RIDGE,"7BD7BA0 Parking5,290 sqft","Crimson Ridge, Chilliwack, Fraser Valley Regional District, British Columbia, V2R 5T6, Canada"
62,"$1,100,000",30 Poplar Plains Rd,"3BD3BA4 Parking1,500-2,000 sqft","30, Poplar Plains Road, Brampton, Peel Region, Golden Horseshoe, Ontario, L7A 0C9, Canada"
63,"$3,599,900",40 Autumn Olive Way,"5BD6BA10 Parking+5,000 sqft","Autumn Olive way, Woodland Hills, Walton County, Georgia, United States"
64,"$495,500",740 6th Ave,"3BD2BA5 Parking2,000-2,500 sqft","740, 6th Avenue, Lansingburgh, City of Troy, Rensselaer County, New York, 12182, United States"
65,"$599,900",21131 Dalton Rd,2BD1BA5 Parking,"21131, Dalton Road, Jackson's Point, Sutton, Georgina, York Region, Golden Horseshoe, Ontario, L0E 1L0, Canada"
66,"$1,695,000",1929 8th Line Rd,6BD4BA12 Parking,"1929, 8th Line Road, Osgoode, Ottawa, Eastern Ontario, Ontario, K0A 2P0, Canada"
67,"$999,900",29 Dewridge Crt,"3BD3BA2 Parking1,500-2,000 sqft","29, Dewridge Court, Raintree, Spartanburg County, South Carolina, 29301, United States"
68,"$1,299,900",26 Hidden Lake Tr,"3BD3BA4 Parking1,500-2,000 sqft","Hidden Lake Tr, Putnam County, Florida, United States"
69,"$2,388,000",12944 108 AVENUE,"8BD7BA6 Parking3,854 sqft","12944, 108 Avenue, Whalley, Surrey, Metro Vancouver Regional District, British Columbia, V3T 0G4, Canada"
70,"$3,100,000",6689 SUNSHINE COAST HIGHWAY,"2BD3BA3 Parking4,496 sqft","6689, Sunshine Coast Highway, Halfmoon Bay, Area B (Halfmoon Bay), Sunshine Coast Regional District, British Columbia, V0N 1Y1, Canada"
71,"$1,399,900",1792 WARWICK AVENUE,"5BD2BA8 Parking1,917 sqft","1792, Warwick Avenue, Hoxsie, Warwick, Kent County, Rhode Island, 02889, United States"
72,"$994,900",18 Ashwood Cres,"2+1BD3BA8 Parking1,100-1,500 sqft","18, Ashwood Crescent, Meadowlands, College, Nepean, Ottawa, Eastern Ontario, Ontario, K2G 5Y7, Canada"
73,"$1,450,000",395 Mud St,3+1BD3BA14 Parking,"395, Mud Street, Town of Stony Creek, Town of Thurman, Warren County, New York, 12810, United States"
74,"$939,000",9 Gourlay Farm Lane,"4BD4BA4 Parking2,000-2,500 sqft","Gourlay Farm Lane, Ayr, North Dumfries, Region of Waterloo, Southwestern Ontario, Ontario, N0B 1E0, Canada"
75,"$1,198,000",1728 DUNCAN DRIVE,"3BD2BA2 Parking1,289 sqft","1728, Duncan Drive, Beach Grove, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4L 1C7, Canada"
76,"$1,330,000",38174 GUILFORD DRIVE,"4BD3BA4 Parking2,315 sqft","38174, Guilford Drive, Hospital Hill, Valleycliffe, Squamish, Squamish-Lillooet Regional District, British Columbia, V8B 0X5, Canada"
77,"$1,399,000",45468 WELLINGTON AVENUE,"5BD3BA5 Parking2,420 sqft","Wellington Avenue, Gun Hill Park, Aldershot, Rushmoor, Hampshire, England, GU11 1DQ, United Kingdom"
78,"$1,150,000",4738 FIR ROAD,"4BD3BA4 Parking3,168 sqft","4738, Fir Road, Marshall County, Indiana, 46506, United States"
79,"$449,900",264 Tragina Ave N,"2BD1BA0 Parking700-1,100 sqft","264, Tragina Avenue North, Normanhurst, Hamilton, Golden Horseshoe, Ontario, L8H 2W6, Canada"
80,"$374,000",320 Albinson St,3BD2BA3 Parking,"320, Albinson Street, Greater Sudbury, Sudbury District, Northeastern Ontario, Ontario, P3C 3W5, Canada"
81,"$850,000",41 Consecon St,"3BD2BA4 Parking1,500-2,000 sqft","41, Consecon Street, Wellington, Prince Edward County, Central Ontario, Ontario, K0K 3L0, Canada"
82,"$410,000",391 Emerald St N,"2BD1BA1 Parking700-1,100 sqft","391, Emerald Street North, North End, Hamilton, Golden Horseshoe, Ontario, L8K 6N1, Canada"
83,"$1,250,000",143 Varsity Rd,"3BD2BA3 Parking1,100-1,500 sqft","143, Varsity Road, Lambton Baby Point, Parkdale—High Park, York, Toronto, Golden Horseshoe, Ontario, M6S, Canada"
84,"$1,249,900",110 Way St,3+2BD3BA8 Parking,"110, Way Street, Brooklin, Whitby, Durham Region, Golden Horseshoe, Ontario, L1M 1B3, Canada"
85,"$2,075,000",411 E OSBORNE ROAD,"5BD3BA6 Parking2,610 sqft","East Osborne Road, Upper Lonsdale, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V7N 1X1, Canada"
86,"$949,000",10 Sylvester Dr,"4BD4BA6 Parking2,000-2,500 sqft","10, Sylvester Drive, Framingham, Middlesex County, Massachusetts, 01701, United States"
87,"$929,000",2218 Middlesmoor Cres,3BD3BA3 Parking,"2218, Middlesmoor Crescent, Brant Hills, Burlington, Halton Region, Golden Horseshoe, Ontario, L7P 3X1, Canada"
88,"$899,999",48 Prue Crt,3+1BD4BA4 Parking,"Prue Court, Brampton, Peel Region, Golden Horseshoe, Ontario, L6P 2X4, Canada"
89,"$709,000",65 Stevenson St,"3BD2BA4 Parking1,100-1,500 sqft","65, Stevenson Street, Ascot, Brisbane City, Queensland, 4007, Australia"
90,"$1,698,800",138 Pioneer Lane,"3BD3BA2 Parking1,500-2,000 sqft","138, Pioneer Lane, Woodbridge, Vaughan, York Region, Golden Horseshoe, Ontario, L4L 1S8, Canada"
91,"$799,000",210 Sandringham Dr,3+1BD4BA5 Parking,"210, Sandringham Drive, York Centre, North York, Toronto, Golden Horseshoe, Ontario, M3H 1M1, Canada"
92,"$1,279,000",3073 Country Lane,4BD4BA4 Parking,"3073, Country Lane, Whitby, Durham Region, Golden Horseshoe, Ontario, L1P 1N3, Canada"
93,"$1,400,000",14 Moccasin Tr,3+2BD2BA4 Parking,"14, Moccasin Tr, Polk County, North Carolina, 28722, United States"
94,"$3,180,000",3511 TRUMOND AVENUE,"5BD6BA7 Parking3,718 sqft","Trumond Avenue, Seafair, Richmond, Metro Vancouver Regional District, British Columbia, V7C 1V0, Canada"
95,"$899,000",114 Nordic Rd,"5BD2BA6 Parking2,000-2,500 sqft","114, Nordic Road, The Blue Mountains, Grey County, Southwestern Ontario, Ontario, N0H 2E0, Canada"
96,"$324,900",1581 Weller St,"3BD2BA3 Parking1,100-1,500 sqft","1581, Weller Street, Minnow Lake, Greater Sudbury, Sudbury District, Northeastern Ontario, Ontario, P3B 1K9, Canada"
97,"$350,000",20 Dell St,"5BD3BA3 Parking1,500-2,000 sqft","20, Dell Street, Arise at Rochedale, Rochedale, Brisbane City, Queensland, 4123, Australia"
98,"$565,800",4533 Sixth St,"3+1BD2BA6 Parking2,000-2,500 sqft","Sixth St, Livermore, Alameda County, California, 94550, United States"
99,"$1,999,000",1697 Missenden Cres,3+1BD3BA8 Parking,"1697, Missenden Crescent, Clarkson, Mississauga, Peel Region, Golden Horseshoe, Ontario, L5J 2V3, Canada"
100,"$1,699,000",163 Cherryhurst Rd,"4BD4BA4 Parking2,500-3,000 sqft","163, Cherryhurst Road, Oakville, Halton Region, Golden Horseshoe, Ontario, L6M 0T7, Canada"
101,"$949,000",3 Natures Tr,"2+1BD2BA4 Parking2,500-3,000 sqft",No Address Found
102,"$999,000",22 Peacock Tr,4BD4BA6 Parking,"Peacock Track, Lillicur, Shire of Central Goldfields, Victoria, 3371, Australia"
103,"$599,900",46 Annamaria Dr,3BD2BA3 Parking,"46, Annamaria Drive, Keswick, Georgina, York Region, Golden Horseshoe, Ontario, L4P 2M4, Canada"
104,"$860,000",8785 8th Line,3+1BD3BA8 Parking,"8785, 8th Line, Essa, Simcoe County, Central Ontario, Ontario, L0M 1T2, Canada"
105,"$1,799,000",40756 PEEBLES PLACE,"5BD3BA4 Parking2,252 sqft","40756, Peebles Place, Garibaldi Highlands, Squamish, Squamish-Lillooet Regional District, British Columbia, V8B 0N8, Canada"
106,"$3,980,000",9140 WELLMOND ROAD,"5BD6BA3 Parking3,631 sqft","Wellmond Road, Seafair, Richmond, Metro Vancouver Regional District, British Columbia, V7C 1V0, Canada"
107,"$2,800,000",16117 108 AVENUE,"11BD9BA6 Parking6,180 sqft",No Address Found
108,"$799,900",177 Seeley Ave,"3BD3BA4 Parking1,500-2,000 sqft","177, Seeley Avenue, Dundalk, Southgate, Grey County, Southwestern Ontario, Ontario, N0C 1B0, Canada"
109,"$799,900",19 Orlanda Rd,"3BD2BA3 Parking1,100-1,500 sqft","19, Orlanda Road, Stoney Creek, Hamilton, Golden Horseshoe, Ontario, L8G 1J5, Canada"
110,"$2,250,000",3605 County Road 7,"2+1BD3BA6 Parking3,500-5,000 sqft","3605, County Road 7, Cressy, Prince Edward County, Central Ontario, Ontario, K7R 3K7, Canada"
111,"$999,000",136 Silverthorne Dr,"3BD3BA4 Parking1,500-2,000 sqft","136, Silverthorne Drive, Hespeler, Cambridge, Region of Waterloo, Southwestern Ontario, Ontario, N3C 0G1, Canada"
112,"$1,650,000",38 Pheasant St,"2+2BD3BA5 Parking1,100-1,500 sqft","38, Pheasant Street, West Roxbury, Boston, Suffolk County, Massachusetts, 02132, United States"
113,"$1,188,000",104 Coleridge Ave,"3BD3BA2 Parking1,500-2,000 sqft","104, Coleridge Avenue, Beaches—East York, East York, Toronto, Golden Horseshoe, Ontario, M4C 4J2, Canada"
114,"$989,000",11 - 6110 MILLER DRIVE,"5BD4BA4 Parking3,016 sqft",No Address Found
115,"$2,998,000",782 264 STREET,"4BD4BA20 Parking2,822 sqft",No Address Found
116,"$709,900",46443 STONEY CREEK DRIVE,"2BD2BA4 Parking1,584 sqft","Stoney Creek Drive, Promontory, Ch'iyáqtel / Tzeachten, British Columbia, V2R 0K5, Canada"
117,"$1,052,000",127 Hackamore Cres,"4BD4BA6 Parking3,000-3,500 sqft","127, Hackamore Crescent, Fox Run, Rideau-Jock, Goulbourn, Ottawa, Eastern Ontario, Ontario, K2J 2Z0, Canada"
118,"$829,900",458 Elmwood Ave,"2BD2BA2 Parking700-1,100 sqft","458, Elmwood Avenue, Buchanan, Hamilton, Golden Horseshoe, Ontario, L9C 2B1, Canada"
119,"$799,900",632 Ridge Rd W,"3+1BD3BA9 Parking1,500-2,000 sqft","632, Ridge Road West, Oro-Medonte, Simcoe County, Central Ontario, Ontario, L0L 2E0, Canada"
120,"$1,089,000",559 Drymen Cres,3+1BD2BA2 Parking,"559, Drymen Crescent, Lakeview, Mississauga, Peel Region, Golden Horseshoe, Ontario, L5G 4G8, Canada"
121,"$829,900",2126 Sunnydale Dr,"4BD2BA4 Parking1,100-1,500 sqft","2126, Sunnydale Drive, Clarksdale, Burlington, Halton Region, Golden Horseshoe, Ontario, L7P 1B6, Canada"
122,"$1,299,900",731 Runningbrook Dr,"3+2BD3BA6 Parking1,500-2,000 sqft","731, Runningbrook Drive, Rathwood, Mississauga, Peel Region, Golden Horseshoe, Ontario, L4Y 2Y4, Canada"
123,"$1,849,000",47 Cousins Dr,"3+1BD1BA8 Parking2,000-2,500 sqft","47, Cousins Drive, Aurora, York Region, Golden Horseshoe, Ontario, L4G 1M6, Canada"
124,"$1,500,000",21A Wellington St,"4BD3BA6 Parking2,500-3,000 sqft","21A, Wellington Street, Virginia, Brisbane City, Queensland, 4014, Australia"
125,"$2,399,999",31 Westbourne Crt,"4+3BD5BA11 Parking3,500-5,000 sqft","31, Westbourne Court, Oak Ridges, Richmond Hill, York Region, Golden Horseshoe, Ontario, L4E 3L2, Canada"
126,"$1,389,999",215 Riverdale Ave,3BD3BA2 Parking,"215, Riverdale Avenue, Riverdale, Cornwall, Eastern Ontario, Ontario, K6J 1V6, Canada"
127,"$889,999",275 FIR STREET,"3BD3BA2 Parking1,670 sqft","275, Fir Street, Red Bluff, Area A (Red Bluff/Quesnel South), Cariboo Regional District, British Columbia, V2J 5J3, Canada"
128,"$699,900",45083 NICOMEN CRESCENT,"4BD3BA3 Parking2,122 sqft","Nicomen Crescent, Chilliwack, Fraser Valley Regional District, British Columbia, V2R 0S6, Canada"
129,"$789,000",35 Victoria Way,"2+2BD3BA6 Parking1,500-2,000 sqft","35, Victoria Way, Whitehall, City of Albany, Albany County, New York, 12209, United States"
130,"$1,099,900",56 Mcallistar Dr,"4+1BD4BA4 Parking2,500-3,000 sqft","McAllistar Drive, Hamilton, Golden Horseshoe, Ontario, L0R 1C0, Canada"
131,"$719,000",105 Lake Avenue Dr,"3BD3BA6 Parking1,100-1,500 sqft","105, Lake Avenue Drive, Stoney Creek, Hamilton, Golden Horseshoe, Ontario, L8G 1B6, Canada"
132,"$4,999,999",63 Oakwood Ave S,3+1BD3BA4 Parking,"63, Oakwood Avenue South, Port Credit, Mississauga, Peel Region, Golden Horseshoe, Ontario, L5G 1G2, Canada"
133,"$725,000",19 Timberland Cres,"3BD2BA6 Parking1,500-2,000 sqft","19, Timberland Crescent, Wasaga Beach, Simcoe County, Central Ontario, Ontario, L9Z 2V4, Canada"
134,"$549,900",482 Athabaska St,"3+2BD2BA6 Parking700-1,100 sqft","482, Athabaska Street, Port McNicoll, Tay, Simcoe County, Central Ontario, Ontario, L0K 1R0, Canada"
135,"$799,900",6 Leslie Dr,"3BD2BA3 Parking1,100-1,500 sqft","6, Leslie Drive, Collingwood, Simcoe County, Central Ontario, Ontario, L9Y 4R1, Canada"
136,"$1,388,000",7 Carlsberg Pl,4BD3BA8 Parking,"7, Carlsberg Place, Papamoa Beach, Tauranga, Tauranga City, Bay of Plenty, 3118, New Zealand / Aotearoa"
137,"$949,000",561 Laval St,4+1BD3BA4 Parking,"561, Laval Street, Oshawa, Durham Region, Golden Horseshoe, Ontario, L1J 6R2, Canada"
138,"$799,000",134 Lisbon Pines Dr,"4BD2BA3 Parking2,000-2,500 sqft","134, Lisbon Pines Drive, Littles Corners, Cambridge, Region of Waterloo, Southwestern Ontario, Ontario, N1P 1C7, Canada"
139,"$724,900",10 Vanier Crt,"2+2BD2BA5 Parking700-1,100 sqft","10, Vanier Court, Henley, St. Catharines, Niagara Region, Golden Horseshoe, Ontario, L2N 6N8, Canada"
140,"$1,199,000",717 Normandy Dr,3+1BD4BA7 Parking,"717, Normandy Drive, Lansdowne Meadow, Woodstock, Oxford County, Southwestern Ontario, Ontario, N4T 0E4, Canada"
141,"$1,189,000",1882 Cedarpark Dr,"4BD4BA4 Parking2,000-2,500 sqft","Cedarpark Drive, Fanshawe, London, Southwestern Ontario, Ontario, N5X 0C4, Canada"
142,"$1,049,999",6070 Allendale Ave,2BD1BA2 Parking,"Allendale Avenue, Wallsend, North Tyneside, North of Tyne, England, NE28 9NA, United Kingdom"
143,"$985,000",3123 Michael Cres,"3+1BD2BA3 Parking1,100-1,500 sqft","3123, Michael Crescent, Palmer, Burlington, Halton Region, Golden Horseshoe, Ontario, L7M 1M2, Canada"
144,"$3,595,900",159 Jones St,"5+1BD7BA8 Parking3,500-5,000 sqft","159, Jones Street, Ultimo, Sydney, Council of the City of Sydney, New South Wales, 2007, Australia"
145,"$1,499,000",1060 Bonnybrook Dr,"3+2BD3BA13 Parking3,500-5,000 sqft","1060, Bonnybrook Drive, Severn, Simcoe County, Central Ontario, Ontario, L3V 7X6, Canada"
146,"$724,900",220 Newholme Circ,"3+1BD1BA5 Parking1,500-2,000 sqft",No Address Found
147,"$1,288,000",6 Tremoy Rd,"4BD4BA6 Parking2,500-3,000 sqft","Tremoy Road, Holland Landing, East Gwillimbury, York Region, Golden Horseshoe, Ontario, L9N 1K9, Canada"
148,"$1,299,000",20 Sir Kay Dr,4+2BD2BA6 Parking,"20, Sir Kay Drive, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L3P 2Y5, Canada"
149,"$1,720,000",3247 E 29TH AVENUE,"2BD3BA1 Parking2,891 sqft","3247, East 29th Avenue, Tampa, Hillsborough County, Florida, 33605, United States"
150,"$7,988,000",1925 SW MARINE DRIVE,"6BD8BA10 Parking8,514 sqft","SW Marine Drive, University of British Columbia, Electoral Area A, Metro Vancouver Regional District, British Columbia, V6T 1W9, Canada"
151,"$1,297,000",4709 LAUREL AVENUE,"4BD2BA3 Parking1,860 sqft","4709, Laurel Avenue, Cylburn, Baltimore, Maryland, 21215, United States"
152,"$599,000",884 Stewart Line,"2+1BD2BA12 Parking700-1,100 sqft","884, Stewart Line, Ida, Cavan-Monaghan, Peterborough County, Central Ontario, Ontario, L0A 1C0, Canada"
153,"$975,000",640 Burning Bush Rd,"4BD3BA6 Parking3,500-5,000 sqft","640, Burning Bush Road, Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, N2L 4Z9, Canada"
154,"$3,498,500",1251 Tourmaline Crt,"4+2BD6BA8 Parking3,500-5,000 sqft","1251, Tourmaline Court, Mattamy Watercolours, Mississauga, Peel Region, Golden Horseshoe, Ontario, L5H 4L8, Canada"
155,"$1,249,900",19 Rugman Cres,"4BD4BA4 Parking2,000-2,500 sqft","Rugman Crescent, Springwater, Simcoe County, Central Ontario, Ontario, L4N 7Y3, Canada"
156,"$1,385,000",65 Edith St,4BD3BA4 Parking,"65, Edith Street, Alderley Heights, Alderley, Brisbane City, Queensland, 4051, Australia"
157,"$1,019,900",58 Wells Cres,"4BD3BA5 Parking2,000-2,500 sqft","58, Wells Crescent, Brooklin, Whitby, Durham Region, Golden Horseshoe, Ontario, L1M 1E8, Canada"
